date,Lyme_Rate,akron racers,alaska baseball league,alive at five,all stars baseball,baby toads,bell's palsy,berry picking,bible school songs,big surf,black legged tick,black tick,blossom rot,blueberry farms,bourne braves,brooklyn concerts,bullseye rash,central park free concerts,cherry pitter,cherry recipes,church festivals,coastal plains league,collegiate baseball league,concert in park,concerts brooklyn,deer tick,facial paralysis,falmouth commodores,fever,fourth of july cakes,free concerts,free concerts in nyc,free outdoor concerts,freedom fest,freedom run,freezer jam,freezing cherries,freezing squash,fresh cherry,fresh cherry pie,fresh cherry recipes,gatemen,harvesting basil,harwich mariners,joint pain,july calendar,keene swamp bats,knee pain,lake fest,little league all stars,lyme,lyme disease,marketfest,milwaukee festival,movies under the stars,necbl,newport gulls,nycbl,passing league,pick your own berries,pick your own blueberries,picking blueberries,pitting cherries,prospect park bandshell,rash,rose tree park,summer concerts in the park,summer in the park,summer recipe,summer run,summer sizzler,swamp bats,swimming parks,swollen joint,swollen joints,swollen knee,swollen knees,symphony in the park,tick,tired,tomato plant problems,valley league baseball,vbs games,water park atlanta,water park ga,watertown wizards,white water six flags,wild raspberries
2004-01-01,0.458390483344515,0,0,0,21,0,33.77777777777778,0,0,0,0,0,0,28,0,0,0,0,0,10.333333333333334,41,0,0,13.571428571428571,0,10.333333333333334,0,0,43.333333333333336,0,0.6666666666666666,0,0,0,12.75,0,0,0,16.4,0,0,0,0,0,32.666666666666664,3.4444444444444446,0,20.444444444444443,0,0,25.77777777777778,18.22222222222222,0,0,0,4.777777777777778,13.25,0,0,0,0,0,0,0,29.666666666666668,0,0,9,2.3333333333333335,21.6,0,0,0,0,25,24,0,0,5.222222222222222,38.77777777777778,0,0,0,0,0,0,0,0
2004-02-01,0.4495069468455903,0,0,0,19.25,0,46.55555555555556,0,0,19.25,0,16.666666666666668,0,0,0,0,0,36,0,23.444444444444443,0,0,0,5.428571428571429,0,8.333333333333334,50,0,49.22222222222222,0,7.888888888888889,0,0,0,25,0,0,0,35.4,0,0,0,0,0,28.555555555555557,1.4444444444444444,0,29.555555555555557,6.166666666666667,20,24.555555555555557,15.555555555555555,0,0,0,11.11111111111111,0,0,0,0,0,0,0,0,23.555555555555557,0,0,11.166666666666666,16.555555555555557,20,0,0,13.571428571428571,0,20,0,0,0,10.222222222222221,23.555555555555557,0,53.666666666666664,0,0,0,0,0,0
2004-03-01,0.5756531651303212,0,0,0,25,0,40.666666666666664,11.11111111111111,0,74.25,0,0,12.125,16.666666666666668,0,9,0,0,0,11.11111111111111,50,0,0,19,0,15.666666666666666,25,35.5,37.111111111111114,0,15.777777777777779,0,0,16.666666666666668,0,0,0,0,0,0,0,25,0,0,25.666666666666668,1.3333333333333333,0,47.888888888888886,7.666666666666667,0,28.555555555555557,30.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,22.444444444444443,0,0,16.666666666666668,4.444444444444445,10.8,0,33.333333333333336,7.571428571428571,0,25,16.666666666666668,33.333333333333336,0,11.444444444444445,44.111111111111114,0,33.333333333333336,0,0,0,0,0,0
2004-04-01,0.8066251141023637,0,0,10.666666666666666,0,0,27.88888888888889,6.333333333333333,0,25.5,0,0,0,0,0,13.5,0,0,0,23.555555555555557,39,0,0,38.42857142857143,12.5,48.55555555555556,25,0,46.22222222222222,0,9.666666666666666,37,0,8,25,10,0,0,9.6,50,0,0,0,0,32.888888888888886,6.333333333333333,0,30.555555555555557,16.666666666666668,20,44.111111111111114,38.888888888888886,0,100,28.666666666666668,0,0,15,0,0,0,0,0,4.333333333333333,25.333333333333332,8,50,13.833333333333334,7.888888888888889,23.4,0,0,12.428571428571429,50,63,10.333333333333334,0,0,21.444444444444443,40.666666666666664,0,52.333333333333336,0,100,0,0,0,0
2004-05-01,1.7536101048877377,0,94,5,9.5,0,31.22222222222222,25.11111111111111,0,9,14.285714285714286,32.333333333333336,9,12.333333333333334,13.666666666666666,6.5,25,32,42.285714285714285,3.888888888888889,0,0,19.5,12.857142857142858,0,57.77777777777778,0,0,43.44444444444444,0,36.111111111111114,0,0,19.5,22.5,0,0,0,17.8,0,0,17,0,0,40.111111111111114,5.333333333333333,0,32.22222222222222,27.666666666666668,9.4,61.666666666666664,67.77777777777777,0,91,23,0,25,0,0,0,0,0,0,33.666666666666664,22.444444444444443,19.333333333333332,33.5,31.5,26.22222222222222,11.4,20,0,42.285714285714285,0,0,9.333333333333334,0,66,24.444444444444443,45.22222222222222,0,57,0,0,0,74,0,0
2004-06-01,5.553987019127729,0,0,21,71.25,0,33.888888888888886,28.555555555555557,0,65.5,0,0,0,22.833333333333332,44.666666666666664,75,0,80,13.571428571428571,29.333333333333332,35.5,50,45.5,41.857142857142854,67.5,52.888888888888886,16.75,0,37.55555555555556,0,47,0,0,25.833333333333332,30.25,33.142857142857146,41,0,15,0,33.333333333333336,17.25,0,56,41,32,0,23.77777777777778,32.333333333333336,29.4,69.77777777777777,74.11111111111111,0,0,33.333333333333336,35.111111111111114,11.75,0,0,0,32.833333333333336,0,0,52.333333333333336,30.11111111111111,16.333333333333332,33.5,39.5,17.555555555555557,43.8,0,26,17.857142857142858,0,34.25,37.833333333333336,0,100,28.333333333333332,27.88888888888889,0,41.666666666666664,0,0,0,0,0,0
2004-07-01,5.04407202408945,0,100,23.666666666666668,44.75,100,62.44444444444444,40.55555555555556,0,14,0,16.666666666666668,32,42.833333333333336,33.333333333333336,16.5,12.5,34,14.285714285714286,57.111111111111114,0,0,63,31.857142857142858,18,35.333333333333336,18.75,77,39,25,51.333333333333336,0,100,13.333333333333334,45,23.857142857142858,0,0,24.8,0,0,0,50,0,30.333333333333332,29.22222222222222,33.333333333333336,31.444444444444443,15.333333333333334,40,68.55555555555556,59.44444444444444,0,97,50.333333333333336,41.77777777777778,37.25,0,0,0,65.5,40,0,19,35.22222222222222,100,35,23.5,49.666666666666664,22.8,11,27.333333333333332,62,25,0,36.333333333333336,24.666666666666668,70,18,32.77777777777778,25,43.333333333333336,0,0,0,0,100,50
2004-08-01,2.3399235138167684,0,0,7,23.75,0,37.888888888888886,28.666666666666668,0,57,0,27.833333333333332,23.625,38.833333333333336,0,24,0,31,0,29,0,0,46.75,51.285714285714285,11,21.11111111111111,16,50,29.22222222222222,0,22.666666666666668,33,46,7,18.25,46.285714285714285,0,0,20,0,0,16.75,0,0,28.77777777777778,12.88888888888889,0,31.666666666666668,10.5,20,53,51.77777777777778,0,0,33.333333333333336,17.77777777777778,0,22.25,0,0,30.5,12.4,0,4,30.11111111111111,11.333333333333334,0,3.8333333333333335,16.22222222222222,18.8,20,0,31.428571428571427,0,0,24.166666666666668,0,0,12.11111111111111,29.555555555555557,25,39.333333333333336,0,0,0,71,92,0
2004-09-01,1.3129866945410722,0,0,4.333333333333333,16,0,40.888888888888886,8.555555555555555,0,35.75,0,0,0,14.166666666666666,0,0,0,29,0,18.666666666666668,0,0,27.75,5.571428571428571,5,17.555555555555557,51.25,0,38,0,22.555555555555557,30,0,16.666666666666668,0,8.142857142857142,0,0,0,0,0,0,0,0,24.333333333333332,2.6666666666666665,0,32.55555555555556,20.166666666666668,0,39.44444444444444,44.77777777777778,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,30.88888888888889,0,0,0,21.22222222222222,26.8,0,0,27.428571428571427,0,15.75,16.666666666666668,0,0,12.666666666666666,33.666666666666664,0,21.333333333333332,0,0,0,0,0,0
2004-10-01,1.3662879135346204,0,0,0,0,0,20.333333333333332,7.111111111111111,0,48.75,0,10.5,0,0,0,5.5,0,0,0,32.22222222222222,0,42,0,4.571428571428571,5,39.44444444444444,31,0,37.111111111111114,0,6.222222222222222,0,0,22.166666666666668,17.25,8.285714285714286,0,0,0,0,0,0,0,0,31.88888888888889,2.2222222222222223,28.666666666666668,16.22222222222222,47,0,37,34.77777777777778,0,0,20.666666666666668,0,0,0,0,100,0,17.2,0,0,22.77777777777778,6.666666666666667,0,0,4.444444444444445,35.4,0,0,18,0,21,16.666666666666668,0,0,13.222222222222221,31.555555555555557,0,0,0,82,0,0,0,0
